temperature,humidity,wind_speed,traffic_density,industrial_activity,AQI
19.34,80.82,10.27,5.0,68.52,162.63
21.49,43.21,5.38,4.0,73.44,117.66
31.41,52.9,5.61,2.0,68.53,155.89
27.3,86.45,9.72,7.0,36.45,147.1
21.29,56.14,11.01,6.0,45.31,151.3
28.59,17.77,12.11,7.0,37.88,77.03
25.68,56.96,10.71,3.0,44.05,93.71
31.78,62.02,6.44,1.0,33.18,69.39
20.09,20.74,2.49,1.0,42.74,62.92
22.71,80.01,9.7,4.0,79.35,158.75
22.26,49.29,8.4,4.0,43.62,153.6
14.76,64.93,6.21,7.0,52.12,137.12
27.07,56.61,12.48,7.0,35.49,103.6
26.83,40.67,5.27,4.0,49.7,150.97
25.04,43.94,11.85,7.0,66.53,150.24
23.36,,5.77,8.0,59.79,137.32
15.09,76.29,10.4,9.0,78.37,208.2
22.06,57.79,12.8,6.0,25.8,71.94
22.6,52.17,8.99,4.0,34.87,109.9
19.38,45.98,15.07,10.0,41.74,66.43
23.87,77.94,15.75,2.0,80.5,173.0
27.83,81.96,10.71,9.0,55.98,189.66
38.2,77.77,11.62,7.0,21.66,139.71
26.22,67.39,13.18,6.0,71.84,182.7
26.8,64.35,11.63,4.0,52.19,205.44
24.48,41.76,11.31,4.0,67.81,125.81
11.57,56.31,8.43,2.0,81.67,136.31
24.81,49.74,4.94,1.0,30.45,114.4
25.42,32.62,5.83,5.0,81.66,136.47
42.24,75.86,17.15,6.0,48.52,111.06
23.65,49.56,10.97,10.0,41.72,109.12
27.11,77.94,9.26,9.0,53.09,210.55
24.76,73.23,13.79,1.0,26.15,114.14
16.82,68.35,7.75,5.0,49.6,148.17
33.0,69.19,11.75,5.0,45.15,93.25
30.26,50.77,10.23,9.0,31.24,92.82
30.54,87.87,11.38,4.0,37.07,175.1
18.63,60.65,8.99,3.0,72.76,150.69
34.82,64.53,7.11,3.0,46.45,197.74
15.19,50.26,7.53,6.0,30.39,110.15
29.11,46.03,7.65,1.0,58.96,130.59
40.33,67.16,9.99,1.0,65.33,155.9
18.07,63.26,5.33,1.0,49.96,134.8
21.04,48.16,6.26,7.0,25.32,63.37
25.7,38.42,10.41,5.0,-0.93,71.11
21.48,40.95,9.62,9.0,31.98,108.01
14.15,77.94,10.57,3.0,71.09,158.28
25.48,50.8,9.86,6.0,69.26,149.4
17.56,54.92,17.56,7.0,34.08,107.24
28.32,81.76,10.38,3.0,45.28,196.03
18.56,43.17,8.86,9.0,63.96,179.19
35.85,49.1,10.3,2.0,47.23,127.24
19.52,48.47,13.06,7.0,68.73,118.7
,84.27,9.85,10.0,48.06,121.17
30.69,89.9,12.05,4.0,59.63,173.84
16.38,71.27,11.19,9.0,43.54,113.27
26.59,71.75,9.13,7.0,34.32,134.57
34.15,51.29,10.33,8.0,73.31,174.12
13.75,89.21,14.8,10.0,19.96,274.31
26.29,64.02,10.73,3.0,38.01,89.34
26.82,72.8,7.04,6.0,48.11,131.68
30.47,58.42,9.04,4.0,67.17,152.5
16.34,55.98,3.66,4.0,32.42,123.17
15.76,84.95,10.41,2.0,52.54,153.73
28.65,68.1,13.94,10.0,22.27,170.95
27.08,81.77,5.98,9.0,58.81,127.23
26.75,63.83,10.45,1.0,86.47,207.98
27.43,47.27,12.96,1.0,10.81,87.73
20.24,51.25,13.27,7.0,35.45,77.28
26.63,,13.84,10.0,66.74,145.95
27.05,50.6,4.4,7.0,108.87,266.23
20.0,43.39,11.51,4.0,61.76,111.77
38.06,78.02,5.48,8.0,35.41,142.93
28.32,51.83,7.01,5.0,47.03,392.44
16.66,62.07,12.46,6.0,25.46,108.37
29.6,64.44,10.47,4.0,66.1,186.59
18.18,51.18,12.18,3.0,70.92,168.34
30.51,81.76,7.21,2.0,78.13,218.42
33.11,43.24,14.42,8.0,43.4,64.26
19.26,63.92,12.07,5.0,33.85,108.92
31.74,63.69,12.67,10.0,79.9,201.07
27.89,59.19,6.76,6.0,77.62,200.72
30.75,40.55,13.51,6.0,30.24,72.71
38.28,73.06,9.05,4.0,42.49,123.6
23.28,71.15,8.17,9.0,65.79,149.78
19.72,49.87,11.88,7.0,44.96,127.8
18.77,70.61,11.75,10.0,50.63,171.65
,65.62,7.46,8.0,20.62,114.69
24.46,40.79,16.17,7.0,27.55,51.51
27.39,47.19,15.44,4.0,48.17,114.78
26.94,77.07,11.82,9.0,36.02,113.95
30.79,,11.29,2.0,27.04,90.06
25.09,51.54,10.99,5.0,43.72,110.53
35.17,47.12,5.35,2.0,32.45,97.92
23.15,52.27,10.34,8.0,50.56,106.02
44.04,53.33,10.3,9.0,69.85,215.36
29.38,47.31,8.27,3.0,43.97,76.28
19.0,33.87,9.07,5.0,41.48,87.19
17.5,77.1,2.86,9.0,71.47,195.07
28.38,74.56,6.71,6.0,64.67,213.62
23.44,40.9,12.77,3.0,65.96,138.67
30.0,62.04,15.19,6.0,-0.41,60.13
28.31,46.47,7.17,9.0,41.03,111.98
24.49,56.08,10.55,10.0,38.57,155.11
19.07,54.83,13.3,7.0,33.49,83.48
14.4,53.58,8.44,4.0,71.07,161.13
21.87,90.04,12.03,4.0,39.13,139.27
30.99,53.4,9.9,1.0,22.19,107.82
26.5,47.88,13.57,3.0,54.92,163.45
16.28,48.56,,9.0,49.85,156.32
26.21,75.66,6.69,1.0,31.55,129.78
27.7,35.22,10.84,2.0,70.36,181.21
18.81,48.56,10.29,2.0,60.62,173.41
26.08,81.7,9.83,8.0,60.55,207.48
25.41,63.66,11.73,6.0,59.68,160.56
17.0,62.88,7.21,7.0,71.79,156.28
27.5,91.98,5.89,4.0,46.89,116.48
28.93,63.7,8.5,4.0,25.17,121.79
32.58,49.38,8.84,4.0,45.86,151.68
32.38,55.77,9.15,6.0,16.89,69.17
15.36,42.97,13.81,4.0,28.76,90.44
18.44,78.84,12.31,1.0,82.38,172.4
28.61,68.62,11.6,1.0,27.99,125.38
28.6,76.87,10.67,8.0,26.52,115.65
28.61,78.19,8.7,2.0,63.39,158.07
51.97,53.79,7.44,9.0,67.26,187.86
29.0,45.83,6.41,10.0,16.67,75.14
32.95,59.22,7.92,8.0,54.98,186.53
31.68,46.91,9.87,1.0,39.03,115.01
29.56,62.47,6.54,10.0,56.61,143.21
22.79,76.98,10.51,8.0,43.95,135.46
30.31,57.48,9.42,9.0,22.69,130.0
19.59,62.25,8.81,4.0,40.37,121.61
23.34,58.59,13.48,7.0,62.52,167.92
21.6,,2.62,4.0,88.87,193.21
25.57,49.98,8.85,3.0,57.8,136.64
41.2,27.05,2.94,1.0,42.18,123.7
11.93,67.06,10.72,2.0,26.41,158.35
29.8,74.82,12.29,7.0,46.83,134.19
13.71,66.7,5.95,6.0,42.43,158.21
21.7,50.4,6.33,8.0,56.12,165.18
32.62,42.97,4.91,3.0,48.81,184.72
25.45,67.42,10.19,6.0,59.59,197.39
17.46,62.12,8.98,6.0,42.81,122.78
19.99,58.11,9.16,2.0,84.18,153.7
29.76,87.34,8.9,1.0,61.68,147.69
19.89,45.8,7.08,2.0,35.87,117.27
26.52,86.63,13.4,9.0,70.02,217.31
25.32,60.48,10.82,6.0,26.88,142.15
20.44,32.47,6.45,3.0,32.91,92.76
40.01,57.31,7.9,10.0,33.98,144.81
29.44,74.39,7.38,7.0,76.57,239.58
10.82,54.52,14.22,1.0,46.42,88.76
26.31,37.88,12.13,8.0,37.43,45.92
20.37,57.53,9.62,10.0,53.28,180.15
30.97,47.14,15.12,7.0,60.84,112.05
,67.38,14.36,3.0,81.78,167.18
24.2,71.6,9.31,4.0,20.06,126.96
28.53,44.16,8.77,7.0,75.27,160.04
31.06,49.41,8.91,4.0,8.65,113.74
16.6,71.35,7.14,5.0,68.13,246.47
22.66,47.12,15.2,1.0,73.27,122.57
21.68,43.77,6.98,5.0,74.3,170.38
20.43,42.32,12.6,10.0,61.38,141.72
37.36,65.28,12.07,10.0,28.7,140.87
27.83,64.64,9.09,4.0,64.94,156.4
16.17,49.74,15.43,3.0,28.65,69.21
31.43,60.08,5.32,9.0,31.23,127.49
39.86,82.91,9.76,1.0,40.87,147.61
32.23,45.39,8.53,10.0,42.68,127.91
14.36,30.72,12.88,5.0,54.81,48.21
21.61,66.83,11.06,10.0,36.09,138.43
33.87,58.34,4.82,2.0,56.59,159.99
20.05,49.35,13.72,5.0,22.55,69.87
28.11,69.78,11.46,5.0,50.78,156.63
30.42,72.59,6.89,10.0,44.55,169.22
18.51,26.88,8.95,1.0,70.28,124.83
24.58,50.21,6.1,4.0,72.29,174.58
2.31,94.76,9.49,7.0,46.6,147.05
17.83,68.75,10.45,1.0,10.81,61.98
23.23,70.14,9.0,10.0,20.51,175.11
16.27,77.59,8.65,2.0,72.47,172.02
36.43,60.26,5.16,4.0,47.13,168.43
14.99,71.95,11.01,10.0,84.98,265.9
21.92,70.77,4.23,2.0,67.93,177.32
25.92,68.09,10.09,2.0,55.1,168.3
35.09,55.17,4.6,1.0,52.57,218.78
14.95,62.58,10.15,2.0,27.02,66.44
33.14,51.17,9.98,3.0,37.37,158.98
25.07,60.19,11.21,4.0,58.33,159.41
18.13,42.47,12.59,1.0,43.1,92.77
28.23,48.14,13.14,1.0,59.37,138.64
26.39,55.77,5.17,7.0,70.58,177.56
20.8,45.84,9.83,5.0,46.41,167.19
25.49,52.42,16.03,7.0,41.37,117.61
22.3,57.54,10.36,10.0,32.07,144.53
,66.03,7.51,9.0,66.7,174.68
29.63,74.24,9.76,1.0,65.07,185.62
36.1,53.04,8.85,8.0,93.74,204.33
16.34,80.03,6.47,,53.54,145.62
39.93,74.08,12.61,4.0,48.07,193.63
11.34,67.56,11.75,9.0,59.35,168.13
23.94,62.3,6.0,2.0,44.24,167.14
29.12,64.79,9.72,9.0,32.29,121.26
26.97,77.81,8.3,8.0,51.78,206.76
20.64,78.35,5.2,6.0,59.16,199.35
23.54,80.02,5.76,5.0,60.48,193.86
21.55,60.62,6.2,3.0,58.88,190.87
20.87,68.32,9.82,1.0,71.28,167.51
30.95,80.15,8.63,6.0,60.41,222.26
27.5,50.64,7.12,10.0,55.41,147.72
20.15,55.22,8.82,5.0,24.69,112.47
31.3,60.24,12.24,8.0,54.92,135.89
27.15,73.49,11.07,1.0,46.58,121.31
30.69,73.73,13.01,10.0,27.57,313.22
29.41,56.54,9.32,1.0,60.02,154.33
19.2,37.37,14.81,7.0,60.36,143.56
21.08,63.69,11.04,8.0,58.51,147.28
30.23,46.23,,10.0,61.11,181.46
29.27,37.65,10.28,1.0,52.48,121.4
24.85,41.04,6.26,9.0,45.07,129.52
25.82,64.9,9.08,7.0,85.4,222.21
33.94,80.42,11.29,7.0,52.96,164.91
,60.58,11.84,8.0,-0.85,127.41
28.83,63.17,8.77,8.0,1.45,111.23
23.58,77.74,18.2,1.0,74.1,136.13
23.48,36.83,9.48,4.0,13.32,77.81
32.69,67.8,4.96,9.0,39.11,151.35
30.78,59.83,13.64,3.0,25.68,69.92
30.69,68.49,11.82,6.0,43.95,178.01
34.14,52.75,10.7,4.0,57.72,184.64
25.15,,8.61,1.0,36.71,102.18
29.77,62.11,11.18,3.0,33.69,146.96
22.83,84.74,14.86,3.0,64.59,197.68
27.27,72.91,10.6,3.0,102.64,228.09
24.09,52.38,5.59,6.0,60.81,194.26
25.68,39.89,-0.36,9.0,31.72,149.32
29.17,34.77,11.15,7.0,67.42,183.14
19.27,79.74,7.04,7.0,84.88,191.81
39.65,45.67,9.7,1.0,71.27,175.15
17.96,55.12,7.57,9.0,19.13,119.43
16.5,79.82,7.36,4.0,60.57,153.69
33.11,35.79,7.7,8.0,40.82,107.62
30.54,82.38,7.98,1.0,51.05,136.88
29.37,56.2,12.33,8.0,42.52,141.83
29.4,42.77,11.72,9.0,64.85,149.77
24.91,56.29,6.38,5.0,42.94,116.5
18.72,49.16,6.78,7.0,78.36,216.55
25.53,66.61,11.14,10.0,49.94,173.36
20.26,50.28,13.16,,45.53,104.14
31.83,31.33,13.11,1.0,61.44,137.75
23.97,56.69,6.99,6.0,57.14,161.35
19.22,39.65,12.97,9.0,62.01,105.55
22.75,63.06,4.67,1.0,47.34,164.74
27.89,42.19,9.39,10.0,76.69,223.65
21.05,52.68,11.46,1.0,69.81,195.06
19.24,62.74,3.76,4.0,49.75,167.89
26.71,56.81,16.28,10.0,66.45,153.8
26.71,63.76,13.98,6.0,44.74,156.62
21.45,70.2,11.94,9.0,61.41,182.68
21.7,42.63,7.1,2.0,66.51,156.21
26.62,59.03,9.8,5.0,54.99,207.27
14.86,,12.37,7.0,33.6,67.38
15.15,63.71,6.63,4.0,26.13,149.92
19.97,55.49,9.46,6.0,55.87,160.24
23.51,45.25,12.73,6.0,35.52,119.06
,64.74,5.52,4.0,71.09,155.53
35.33,77.59,11.0,4.0,19.82,161.35
31.0,52.86,4.74,9.0,76.34,226.16
23.88,45.83,7.17,1.0,51.02,147.7
24.87,62.48,8.49,5.0,32.91,163.79
17.98,39.97,11.54,9.0,40.97,132.15
24.87,50.09,7.9,9.0,45.93,118.89
22.98,78.34,10.38,9.0,59.66,162.89
27.26,60.93,7.94,2.0,25.49,124.23
19.21,31.81,8.41,7.0,30.82,64.93
28.64,33.05,13.75,10.0,43.51,150.71
35.73,62.43,6.55,8.0,49.39,403.07
24.24,72.94,12.28,1.0,64.33,176.3
27.81,35.74,10.0,2.0,55.38,113.01
29.83,66.75,8.27,1.0,42.21,168.79
22.19,79.96,6.35,9.0,54.73,188.77
26.57,88.32,6.56,10.0,53.31,193.97
25.09,64.97,7.78,5.0,44.97,194.02
25.68,67.6,9.55,4.0,52.33,198.0
19.59,28.0,11.81,8.0,6.97,85.56
25.17,91.5,9.1,3.0,68.67,212.66
28.49,51.37,9.3,8.0,60.96,157.78
35.16,46.0,9.75,3.0,79.96,179.46
,56.17,11.43,6.0,33.78,125.39
40.07,82.68,11.93,,61.43,205.03
19.63,93.12,5.84,8.0,11.9,146.45
31.11,61.88,9.15,7.0,14.69,120.9
26.28,74.97,13.68,5.0,45.26,193.5
40.33,60.65,6.05,3.0,38.43,187.77
19.34,44.43,10.22,5.0,70.95,145.29
19.12,82.15,9.49,4.0,73.57,209.85
20.8,50.67,8.3,8.0,75.67,167.66
10.13,83.03,14.77,5.0,61.96,185.34
21.32,79.48,10.11,10.0,62.82,243.48
19.69,69.21,,10.0,24.37,114.99
26.05,87.43,10.02,5.0,77.99,238.1
,93.49,11.38,2.0,75.04,253.38
38.13,57.37,8.27,9.0,22.4,134.57
31.65,47.87,8.3,6.0,59.36,180.78
20.96,32.04,11.23,1.0,39.07,148.44
18.71,93.67,11.28,3.0,86.99,201.3
28.44,53.4,11.79,4.0,30.5,96.21
15.76,77.03,11.13,10.0,51.85,141.89
37.82,48.88,5.99,10.0,53.72,197.33
33.26,83.07,7.58,2.0,48.93,158.58
21.72,49.5,12.55,10.0,92.97,216.5
13.01,42.12,4.12,4.0,83.82,224.01
34.48,56.87,10.88,2.0,17.25,95.42
24.2,52.02,9.66,6.0,59.74,145.7
33.66,68.94,12.55,10.0,49.77,189.25
13.84,59.23,11.25,9.0,66.69,174.88
20.8,69.42,8.01,1.0,54.26,108.68
25.04,55.63,7.87,5.0,33.75,176.35
25.33,50.02,8.43,9.0,29.25,145.83
21.85,,11.74,7.0,41.96,126.51
29.36,90.67,3.09,6.0,47.59,193.74
17.53,63.38,10.47,7.0,53.88,180.22
24.0,30.24,7.35,9.0,38.59,127.3
25.84,52.2,10.57,3.0,84.12,193.1
28.6,61.45,11.03,8.0,60.71,181.68
29.98,87.68,5.01,1.0,67.48,195.43
17.13,75.43,9.32,10.0,47.23,163.34
14.26,46.17,10.47,6.0,29.25,107.14
33.94,96.28,10.26,9.0,67.67,206.72
27.33,59.53,9.63,1.0,30.13,135.75
19.76,78.69,6.34,5.0,9.54,140.49
35.86,42.67,6.79,8.0,61.31,220.12
25.81,24.03,5.87,10.0,34.89,106.15
33.26,38.87,11.66,6.0,43.31,156.54
25.47,11.24,9.65,6.0,63.88,171.41
39.43,91.68,9.84,3.0,31.39,194.54
37.29,63.22,4.88,8.0,17.96,133.74
23.26,46.13,9.9,1.0,74.39,163.65
31.8,,11.9,4.0,48.83,200.24
29.52,62.84,4.47,8.0,75.15,211.31
34.58,69.31,8.39,6.0,62.52,195.45
18.25,78.14,5.29,9.0,63.11,193.64
29.8,55.65,8.74,1.0,53.27,179.64
32.41,46.8,7.3,2.0,53.25,97.79
12.69,72.42,11.14,1.0,72.69,162.53
16.72,72.03,10.51,4.0,66.29,158.59
10.73,61.51,13.87,9.0,38.22,171.78
23.11,92.66,9.84,4.0,59.86,205.38
30.02,53.43,11.02,9.0,37.61,139.76
35.52,46.5,8.33,6.0,43.75,147.57
25.52,66.27,6.69,5.0,61.37,154.48
36.4,49.88,12.5,10.0,37.31,177.54
15.34,67.43,13.73,4.0,52.95,144.24
,47.5,12.12,10.0,57.6,167.48
24.61,54.0,10.39,2.0,43.21,123.82
27.69,88.36,7.08,8.0,64.39,216.7
24.77,53.92,13.42,3.0,41.21,108.74
10.53,48.02,11.74,1.0,68.85,147.45
24.38,77.56,16.07,10.0,52.61,197.56
15.87,44.23,6.54,7.0,53.46,158.74
29.69,49.61,12.59,8.0,32.02,138.53
27.57,68.65,11.65,7.0,45.31,164.57
18.42,74.08,8.97,4.0,53.9,215.68
21.4,78.31,14.09,8.0,70.49,175.22
17.59,48.79,11.21,10.0,43.57,138.22
24.56,68.94,7.19,4.0,70.41,205.39
31.69,53.01,9.64,5.0,34.89,115.68
18.1,50.92,7.15,8.0,56.68,171.47
28.53,78.05,8.59,2.0,39.86,166.36
21.29,51.76,12.11,10.0,80.88,196.33
19.45,64.17,12.97,8.0,77.27,196.55
24.25,62.33,10.66,5.0,55.71,151.8
17.75,43.94,7.75,5.0,39.3,92.88
21.12,74.49,11.14,7.0,19.66,136.97
16.61,68.4,12.17,4.0,57.57,143.69
38.75,30.21,4.08,3.0,54.15,159.17
25.25,64.16,10.35,6.0,67.16,169.68
20.1,48.41,9.43,6.0,20.67,75.52
26.5,76.46,12.86,10.0,52.83,190.56
24.21,38.32,11.16,6.0,58.58,168.92
23.45,54.65,11.45,7.0,31.96,159.37
29.3,65.43,8.55,4.0,52.33,163.69
30.3,60.82,10.0,3.0,35.46,145.41
,71.44,12.83,3.0,33.49,146.62
20.97,37.22,9.81,3.0,39.39,147.9
23.07,84.78,10.52,2.0,44.68,126.53
8.89,67.88,5.39,6.0,74.77,166.43
14.39,80.4,9.79,1.0,43.56,193.95
34.57,73.11,3.96,6.0,33.08,133.19
36.51,59.83,8.45,8.0,66.26,222.62
23.26,40.74,10.19,6.0,70.55,204.79
29.04,51.55,12.3,2.0,66.39,188.74
27.18,83.84,7.0,7.0,77.39,206.44
46.55,80.78,11.12,3.0,53.85,173.19
32.84,50.71,14.41,9.0,53.11,157.26
24.1,17.73,8.08,8.0,35.92,158.72
18.31,56.81,5.36,6.0,77.98,248.17
13.75,55.68,10.87,1.0,48.16,147.86
26.42,56.25,6.42,2.0,43.93,117.08
19.71,67.93,7.54,8.0,42.14,170.73
15.04,73.14,12.77,6.0,62.73,173.66
20.47,74.85,15.63,1.0,51.67,155.79
17.43,66.69,7.0,9.0,53.79,140.72
36.81,32.99,7.79,8.0,43.51,154.67
31.17,54.88,8.68,2.0,46.03,118.86
24.94,94.56,8.36,10.0,47.04,138.71
35.36,65.61,15.8,5.0,78.43,203.56
25.54,65.52,8.41,3.0,13.98,170.69
18.97,65.39,8.84,1.0,58.96,151.59
35.66,66.23,14.85,7.0,71.76,183.76
28.77,24.25,11.73,9.0,13.23,110.12
17.74,56.41,12.96,7.0,48.57,177.94
23.67,59.43,,3.0,69.64,194.02
18.87,79.22,8.41,6.0,34.94,144.74
15.32,60.72,6.88,3.0,55.37,202.39
31.48,35.3,12.4,4.0,31.36,83.45
38.37,66.45,13.68,1.0,50.66,151.49
15.21,47.94,8.2,2.0,75.55,193.96
28.94,41.75,8.91,1.0,83.91,151.72
20.45,47.49,9.04,10.0,55.1,175.64
21.59,68.14,5.36,2.0,24.42,171.14
20.85,78.88,7.98,4.0,43.79,215.42
18.95,67.24,12.32,6.0,13.74,105.08
25.34,69.48,7.37,8.0,44.12,165.22
19.18,67.1,,10.0,69.29,216.15
26.89,61.52,6.08,9.0,22.74,131.75
24.65,70.45,9.57,10.0,45.86,168.81
23.33,23.72,8.31,7.0,33.68,124.45
18.65,61.67,6.33,4.0,85.87,224.93
20.96,,12.37,7.0,57.97,107.14
30.29,77.44,12.54,1.0,67.01,164.36
28.51,57.79,7.09,10.0,55.85,141.43
18.16,60.46,9.35,6.0,65.22,141.29
25.7,37.42,10.13,1.0,71.61,138.46
30.26,75.25,4.56,8.0,50.77,195.5
13.31,69.41,5.81,4.0,39.38,156.91
28.8,,13.86,8.0,31.3,91.56
20.36,47.8,6.8,8.0,85.17,185.34
28.99,48.4,13.77,2.0,66.41,126.52
19.66,63.35,5.96,6.0,5.54,112.83
12.37,49.58,11.98,10.0,45.11,126.39
13.61,66.52,9.07,4.0,58.32,205.87
,27.59,9.49,3.0,83.45,174.24
26.82,,15.57,9.0,27.95,107.87
18.67,86.95,6.24,10.0,58.53,206.25
29.47,66.59,11.78,9.0,42.01,149.15
13.37,62.5,11.66,2.0,26.06,152.95
24.54,89.78,20.06,5.0,76.91,193.04
16.52,24.96,6.77,10.0,30.72,129.6
20.44,47.77,8.12,10.0,69.42,208.18
25.33,53.98,12.45,7.0,18.11,98.96
18.98,72.88,9.4,9.0,40.2,122.33
22.31,73.13,8.61,8.0,61.44,186.09
32.04,,12.87,10.0,64.34,193.5
20.96,74.97,9.2,4.0,58.74,145.53
30.85,53.95,7.32,3.0,69.71,425.04
17.09,78.17,12.18,1.0,44.23,178.36
28.71,44.51,11.13,1.0,77.85,216.37
35.09,58.15,9.06,9.0,57.13,205.54
7.7,52.65,8.92,4.0,64.7,174.51
19.42,75.84,7.26,8.0,57.27,201.47
29.04,52.16,12.18,4.0,59.83,137.1
23.58,59.36,8.92,6.0,29.98,118.67
27.6,67.6,7.69,4.0,31.17,110.92
20.77,68.18,6.14,2.0,39.18,163.08
25.61,73.3,11.18,1.0,60.29,193.7
23.91,63.17,8.47,8.0,38.23,163.93
33.17,53.73,3.96,6.0,44.08,181.99
26.78,54.75,6.39,1.0,48.55,182.62
27.36,60.39,9.3,5.0,78.36,173.44
22.12,63.74,9.38,3.0,62.06,183.18
21.59,57.79,9.27,2.0,20.77,127.2
21.97,60.29,8.85,3.0,53.19,156.55
27.76,37.24,5.57,2.0,43.93,93.14
22.05,70.01,7.38,10.0,45.43,155.65
27.03,62.72,13.55,2.0,50.01,144.02
39.53,75.03,13.11,1.0,72.52,412.31
31.1,60.0,11.73,3.0,33.73,142.92
22.72,33.92,11.47,3.0,54.08,187.98
33.41,54.62,12.71,4.0,55.81,190.28
22.14,57.0,6.64,3.0,45.57,160.78
10.73,71.14,10.1,8.0,37.23,157.17
17.94,28.95,6.64,4.0,34.89,152.61
11.9,60.62,6.69,10.0,41.59,195.46
22.54,67.71,11.1,1.0,64.75,190.52
25.13,50.08,12.84,2.0,42.83,180.15
36.74,61.12,9.42,7.0,48.02,155.26
27.29,50.59,14.95,6.0,26.86,118.11
23.47,49.06,,9.0,40.51,226.99
30.81,53.87,7.67,6.0,54.59,196.31
9.52,49.34,6.74,2.0,,103.09
26.65,70.25,13.05,8.0,70.9,203.79
30.4,48.98,10.39,9.0,38.14,154.78
14.65,46.46,12.03,5.0,85.26,229.92
33.01,86.52,2.03,6.0,58.4,248.8
27.37,74.41,10.73,4.0,13.3,128.52
22.09,32.08,8.46,2.0,55.55,302.24
29.43,48.53,5.82,5.0,43.64,143.76
40.89,63.64,9.81,5.0,55.8,190.91
26.27,64.86,13.28,1.0,82.33,196.9
26.74,37.64,16.8,5.0,64.1,176.88
